neighbourhood_group,room_type,minimum_nights,price
Brooklyn,Entire home/apt,30,140.0
Brooklyn,Private room,4,116.0
Queens,Entire home/apt,30,134.0
Brooklyn,Entire home/apt,30,250.0
Manhattan,Private room,30,140.0
Brooklyn,Private room,30,675.0
Brooklyn,Entire home/apt,30,170.0
Bronx,Entire home/apt,30,142.0
Manhattan,Private room,30,97.0
Brooklyn,Entire home/apt,31,247.0
Manhattan,Entire home/apt,30,257.0
Queens,Entire home/apt,30,109.0
Brooklyn,Entire home/apt,30,132.0
Brooklyn,Private room,30,150.0
Manhattan,Entire home/apt,30,302.0
Brooklyn,Entire home/apt,30,283.0
Manhattan,Entire home/apt,30,65.0
Brooklyn,Entire home/apt,30,293.0
Brooklyn,Private room,30,80.0
Manhattan,Private room,30,825.0
Brooklyn,Private room,1,200.0
Brooklyn,Entire home/apt,30,220.0
Manhattan,Entire home/apt,30,105.0
Brooklyn,Entire home/apt,2,165.0
Brooklyn,Private room,5,89.0
Manhattan,Entire home/apt,30,125.0
Brooklyn,Private room,30,90.0
Manhattan,Entire home/apt,30,197.0
Manhattan,Entire home/apt,30,333.0
Brooklyn,Entire home/apt,2,158.0
Brooklyn,Entire home/apt,30,153.0
Manhattan,Entire home/apt,30,250.0
Manhattan,Entire home/apt,30,200.0
Manhattan,Entire home/apt,30,325.0
Manhattan,Entire home/apt,30,252.0
Manhattan,Entire home/apt,30,116.0
Brooklyn,Private room,90,116.0
Brooklyn,Private room,30,135.0
Brooklyn,Entire home/apt,30,88.0
Brooklyn,Private room,30,51.0
Brooklyn,Entire home/apt,30,200.0
Manhattan,Entire home/apt,60,115.0
Brooklyn,Private room,30,78.0
Brooklyn,Entire home/apt,30,160.0
Manhattan,Entire home/apt,365,140.0
Brooklyn,Entire home/apt,30,150.0
Manhattan,Entire home/apt,30,180.0
Brooklyn,Private room,30,200.0
Manhattan,Private room,30,165.0
Manhattan,Private room,30,111.0
Brooklyn,Entire home/apt,30,180.0
Manhattan,Private room,30,105.0
Brooklyn,Entire home/apt,30,95.0
Brooklyn,Private room,30,353.0
Manhattan,Entire home/apt,4,200.0
Manhattan,Entire home/apt,30,500.0
Manhattan,Private room,30,151.0
Manhattan,Entire home/apt,30,73.0
Manhattan,Private room,30,85.0
